game_id,game_name,player,action,num_plays
0,Aakash-Abdul-KJ-Subhojeet-ZeroSum,column,DontLaunch,4
0,Aakash-Abdul-KJ-Subhojeet-ZeroSum,column,Launch,17
0,Aakash-Abdul-KJ-Subhojeet-ZeroSum,row,DontLaunch,6
0,Aakash-Abdul-KJ-Subhojeet-ZeroSum,row,Launch,13
1,Aakash-Abdul-KJ-Subhojeet-GeneralSum,column,AI,13
1,Aakash-Abdul-KJ-Subhojeet-GeneralSum,column,IOT,10
1,Aakash-Abdul-KJ-Subhojeet-GeneralSum,row,AI,13
1,Aakash-Abdul-KJ-Subhojeet-GeneralSum,row,IOT,7
2,Anita-Calarina-Sepehr-ZeroSum,column,StrategyC,7
2,Anita-Calarina-Sepehr-ZeroSum,column,StrategyD,15
2,Anita-Calarina-Sepehr-ZeroSum,row,StrategyA,5
2,Anita-Calarina-Sepehr-ZeroSum,row,StrategyB,15
3,Anita-Calarina-Sepehr-GeneralSum,column,Artist-based,4
3,Anita-Calarina-Sepehr-GeneralSum,column,Genre-based,17
3,Anita-Calarina-Sepehr-GeneralSum,row,Leave,4
3,Anita-Calarina-Sepehr-GeneralSum,row,Stay,12
4,Bharathvaj-Taylor-Dominik-ZeroSum,column,Bid,4
4,Bharathvaj-Taylor-Dominik-ZeroSum,column,Withdraw,16
4,Bharathvaj-Taylor-Dominik-ZeroSum,row,Bid,11
4,Bharathvaj-Taylor-Dominik-ZeroSum,row,Withdraw,4
5,Bharathvaj-Taylor-Dominik-GeneralSum,column,PickA,15
5,Bharathvaj-Taylor-Dominik-GeneralSum,column,PickB,5
5,Bharathvaj-Taylor-Dominik-GeneralSum,row,PickA,9
5,Bharathvaj-Taylor-Dominik-GeneralSum,row,PickB,6
6,Revan-Owen-Rohini-ZeroSum,column,High,16
6,Revan-Owen-Rohini-ZeroSum,column,Low,4
6,Revan-Owen-Rohini-ZeroSum,row,Cautious,3
6,Revan-Owen-Rohini-ZeroSum,row,Free,14
7,Revan-Owen-Rohini-GeneralSum,column,Cautious,16
7,Revan-Owen-Rohini-GeneralSum,column,Free,3
7,Revan-Owen-Rohini-GeneralSum,row,Cautious,3
7,Revan-Owen-Rohini-GeneralSum,row,Free,12
8,Alireza-Jordan-Kushagra-Tao-GeneralSum,column,PublishFalse,7
8,Alireza-Jordan-Kushagra-Tao-GeneralSum,column,PublishTrue,11
8,Alireza-Jordan-Kushagra-Tao-GeneralSum,row,PublishFalse,7
8,Alireza-Jordan-Kushagra-Tao-GeneralSum,row,PublishTrue,8
9,Alireza-Jordan-Kushagra-Tao-ZeroSum,column,DontGrantSubsidy,14
9,Alireza-Jordan-Kushagra-Tao-ZeroSum,column,GrantSubsidy,5
9,Alireza-Jordan-Kushagra-Tao-ZeroSum,row,DontPutEffort,13
9,Alireza-Jordan-Kushagra-Tao-ZeroSum,row,PutEffort,2
10,Xinyi-Dagmar-Faisal-Thomas-ZeroSum,column,GearToNormal,12
10,Xinyi-Dagmar-Faisal-Thomas-ZeroSum,column,GearToWhale,5
10,Xinyi-Dagmar-Faisal-Thomas-ZeroSum,row,Normal,2
10,Xinyi-Dagmar-Faisal-Thomas-ZeroSum,row,Whale,15
11,Xinyi-Dagmar-Faisal-Thomas-GeneralSum,column,DontMakeGrindWall,3
11,Xinyi-Dagmar-Faisal-Thomas-GeneralSum,column,MakeGrindWall,14
11,Xinyi-Dagmar-Faisal-Thomas-GeneralSum,row,BuyMicrotransaction,11
11,Xinyi-Dagmar-Faisal-Thomas-GeneralSum,row,DontBuyMicrotransaction,5
12,Felix-Narun-Betty-Ehsan-ZeroSum,column,Buy,10
12,Felix-Narun-Betty-Ehsan-ZeroSum,column,Sell,8
12,Felix-Narun-Betty-Ehsan-ZeroSum,row,Praise,11
12,Felix-Narun-Betty-Ehsan-ZeroSum,row,Slam,5
13,Felix-Narun-Betty-Ehsan-GeneralSum,column,Hold,4
13,Felix-Narun-Betty-Ehsan-GeneralSum,column,Liquidate,13
13,Felix-Narun-Betty-Ehsan-GeneralSum,row,Hold,5
13,Felix-Narun-Betty-Ehsan-GeneralSum,row,Liquidate,10
14,Gabriel-Larry-Nimish-GeneralSum,column,L,4
14,Gabriel-Larry-Nimish-GeneralSum,column,R,13
14,Gabriel-Larry-Nimish-GeneralSum,row,L,4
14,Gabriel-Larry-Nimish-GeneralSum,row,R,11
15,Gabriel-Larry-Nimish-ZeroSum,column,Paper,6
15,Gabriel-Larry-Nimish-ZeroSum,column,Rock,4
15,Gabriel-Larry-Nimish-ZeroSum,column,Scissors,7
15,Gabriel-Larry-Nimish-ZeroSum,row,Paper,7
15,Gabriel-Larry-Nimish-ZeroSum,row,Rock,6
15,Gabriel-Larry-Nimish-ZeroSum,row,Scissors,2
16,Lucas-William-Wenkai-GeneralSum,column,High,15
